user_id,login_time,logout_time,ip_address,country,city,login_status,device_type,failed_attempts
U116,2025-01-15 07:05,2025-01-15 12:47,43.243.137.113,Germany,Berlin,Failed,Mobile,6
U110,2025-01-05 18:25,2025-01-06 01:06,129.198.106.38,UK,London,Success,Laptop,0
U104,2025-01-19 21:40,2025-01-20 01:14,233.111.242.60,Germany,Berlin,Success,Laptop,2
U102,2025-01-12 07:08,2025-01-12 15:28,24.18.37.105,UK,London,Success,Mobile,0
U117,2025-01-14 06:17,2025-01-14 15:52,32.42.104.35,Germany,Berlin,Failed,Mobile,3
U108,2025-01-20 00:51,2025-01-20 08:25,141.243.81.183,Russia,Moscow,Success,Laptop,2
U126,2025-01-04 14:46,2025-01-04 20:07,128.149.56.167,Nigeria,Lagos,Success,Mobile,0
U130,2025-01-25 09:59,2025-01-25 19:05,52.89.145.176,India,Bangalore,Failed,Laptop,6
U107,2025-01-31 09:08,2025-01-31 12:03,193.3.137.160,China,Beijing,Success,Laptop,1
U104,2025-01-18 14:01,2025-01-18 17:14,18.56.231.204,China,Beijing,Failed,Laptop,3
U102,2025-01-28 12:21,2025-01-28 20:53,72.7.178.109,China,Beijing,Failed,Laptop,4
U114,2025-01-24 09:30,2025-01-24 18:59,139.161.16.112,Nigeria,Lagos,Success,Mobile,0
U127,2025-01-05 02:28,2025-01-05 06:47,116.177.5.29,Nigeria,Lagos,Failed,Laptop,3
U112,2025-01-16 12:51,2025-01-16 21:12,141.92.198.81,Nigeria,Lagos,Success,Mobile,0
U126,2025-01-02 13:38,2025-01-02 21:39,246.136.179.75,Thailand,Bangkok,Success,Laptop,0
U113,2025-01-18 23:11,2025-01-19 02:20,111.27.38.158,Germany,Berlin,Success,Laptop,0
U103,2025-01-05 22:23,2025-01-06 01:54,72.103.120.104,USA,Texas,Failed,Laptop,3
U104,2025-01-09 03:25,2025-01-09 07:42,227.86.155.170,UK,London,Failed,Laptop,3
U108,2025-01-17 03:41,2025-01-17 07:34,247.147.12.34,China,Beijing,Failed,Laptop,3
U113,2025-01-26 19:07,2025-01-26 19:36,192.193.113.32,UK,London,Success,Laptop,0
U111,2025-01-06 02:39,2025-01-06 03:28,247.192.178.141,Russia,Moscow,Success,Laptop,0
U115,2025-01-09 22:33,2025-01-10 00:18,164.34.133.139,UK,London,Success,Laptop,0
U113,2025-01-07 09:50,2025-01-07 18:46,246.212.19.240,India,Chennai,Success,Laptop,0
U120,2025-01-06 03:23,2025-01-06 05:34,252.91.203.133,UK,London,Failed,Laptop,5
U129,2025-01-23 23:13,2025-01-24 02:55,143.236.201.185,Germany,Berlin,Failed,Mobile,3
U113,2025-01-31 08:35,2025-01-31 09:53,87.193.7.215,Nigeria,Lagos,Failed,Laptop,3
U118,2025-01-21 20:55,2025-01-22 01:20,180.148.211.156,UK,London,Failed,Laptop,3
U120,2025-01-03 09:19,2025-01-03 18:39,26.229.122.71,USA,Texas,Failed,Mobile,5
U124,2025-01-02 18:13,2025-01-02 18:37,51.84.213.169,Germany,Berlin,Success,Mobile,0
U123,2025-01-13 19:19,2025-01-14 02:49,142.85.144.148,Germany,Berlin,Success,Laptop,1
U123,2025-01-02 06:46,2025-01-02 09:40,175.126.121.99,India,Pune,Success,Mobile,0
U119,2025-01-22 04:26,2025-01-22 10:24,74.207.51.114,USA,New York,Success,Laptop,2
U103,2025-01-09 00:21,2025-01-09 08:48,201.9.203.246,Germany,Berlin,Success,Mobile,2
U107,2025-01-09 00:11,2025-01-09 08:46,102.15.91.130,UK,London,Failed,Mobile,3
U127,2025-01-27 00:41,2025-01-27 09:09,27.249.123.247,Thailand,Bangkok,Failed,Mobile,3
U122,2025-01-06 23:16,2025-01-06 23:38,50.95.191.208,UK,London,Failed,Mobile,3
U120,2025-01-17 12:00,2025-01-17 17:39,67.58.139.202,India,Pune,Success,Laptop,1
U128,2025-01-25 02:23,2025-01-25 03:44,80.121.245.5,UK,London,Success,Mobile,1
U124,2025-01-12 09:19,2025-01-12 18:16,42.170.203.211,UK,London,Failed,Mobile,4
U129,2025-01-11 08:36,2025-01-11 13:47,168.156.113.84,Thailand,Bangkok,Failed,Mobile,4
U119,2025-01-07 22:37,2025-01-08 00:01,207.62.238.16,Germany,Berlin,Failed,Mobile,6
U105,2025-01-04 22:54,2025-01-05 03:17,212.102.234.105,China,Beijing,Success,Laptop,0
U122,2025-01-12 21:28,2025-01-13 05:11,134.101.67.68,Germany,Berlin,Failed,Mobile,3
U113,2025-01-31 21:18,2025-02-01 02:46,145.109.195.49,India,Bangalore,Success,Laptop,0
U101,2025-01-10 20:48,2025-01-11 05:51,100.198.201.89,UK,London,Failed,Laptop,3
U108,2025-01-09 00:00,2025-01-09 00:48,50.158.145.152,USA,Texas,Failed,Mobile,4
U103,2025-01-10 14:56,2025-01-11 00:11,106.93.166.227,Russia,Moscow,Success,Laptop,0
U123,2025-01-14 05:53,2025-01-14 10:50,73.0.198.38,Nigeria,Lagos,Success,Mobile,0
U122,2025-01-31 10:59,2025-01-31 19:31,162.13.61.228,UK,London,Success,Mobile,0
U126,2025-01-14 20:58,2025-01-15 01:00,209.170.234.122,Germany,Berlin,Success,Mobile,0
U129,2025-01-03 15:21,2025-01-03 23:30,241.135.138.125,Thailand,Bangkok,Success,Mobile,2
U107,2025-01-14 06:01,2025-01-14 10:57,42.209.2.174,Russia,Moscow,Success,Laptop,0
U116,2025-01-09 09:28,2025-01-09 17:59,169.227.47.20,China,Beijing,Success,Laptop,1
U114,2025-01-29 01:11,2025-01-29 04:55,242.193.50.132,Germany,Berlin,Failed,Mobile,4
U120,2025-01-07 18:18,2025-01-08 03:58,237.58.90.57,Thailand,Bangkok,Failed,Mobile,4
U105,2025-01-07 22:41,2025-01-08 08:10,30.183.12.168,Russia,Moscow,Success,Laptop,0
U110,2025-01-06 23:01,2025-01-07 04:47,206.240.222.249,Germany,Berlin,Success,Laptop,0
U126,2025-01-17 02:38,2025-01-17 03:35,47.143.1.227,Russia,Moscow,Failed,Laptop,3
U117,2025-01-24 13:33,2025-01-24 21:11,126.94.127.64,Russia,Moscow,Failed,Laptop,6
U121,2025-01-15 11:31,2025-01-15 16:20,56.132.33.111,China,Beijing,Failed,Laptop,5
U101,2025-01-01 16:43,2025-01-01 23:41,148.69.13.46,Thailand,Bangkok,Success,Laptop,0
U126,2025-01-31 11:38,2025-01-31 15:34,186.0.53.213,Nigeria,Lagos,Success,Mobile,1
U125,2025-01-04 02:39,2025-01-04 10:48,24.119.13.61,Germany,Berlin,Failed,Laptop,3
U120,2025-01-30 05:03,2025-01-30 09:52,185.26.81.230,Thailand,Bangkok,Failed,Mobile,6
U111,2025-01-24 11:03,2025-01-24 15:38,142.68.167.253,India,Chennai,Success,Laptop,2
U115,2025-01-25 09:05,2025-01-25 11:29,211.95.22.85,UK,London,Success,Laptop,0
U128,2025-01-24 08:12,2025-01-24 17:16,204.196.111.103,UK,London,Success,Mobile,0
U108,2025-01-30 04:35,2025-01-30 11:51,227.133.93.184,Nigeria,Lagos,Success,Mobile,0
U124,2025-01-16 05:17,2025-01-16 08:45,198.233.86.141,USA,New York,Success,Mobile,0
U116,2025-01-22 02:49,2025-01-22 06:20,217.172.200.11,Germany,Berlin,Success,Laptop,0
U113,2025-01-22 22:53,2025-01-23 08:23,170.122.45.146,Nigeria,Lagos,Success,Mobile,2
U104,2025-01-23 16:05,2025-01-23 21:35,246.164.3.0,Germany,Berlin,Failed,Mobile,4
U111,2025-01-09 04:07,2025-01-09 08:32,208.192.100.124,Germany,Berlin,Failed,Mobile,4
U106,2025-01-13 17:28,2025-01-13 20:34,14.114.147.34,UK,London,Success,Mobile,1
U122,2025-01-23 14:57,2025-01-23 22:03,186.23.118.65,UK,London,Failed,Laptop,4
U107,2025-01-03 20:23,2025-01-03 21:59,232.201.173.94,Germany,Berlin,Success,Mobile,1
U102,2025-01-11 23:28,2025-01-12 03:14,129.166.136.147,USA,New York,Success,Laptop,1
U112,2025-01-07 17:44,2025-01-07 21:20,180.155.230.65,USA,New York,Failed,Mobile,3
U109,2025-01-19 01:41,2025-01-19 10:38,40.235.134.195,India,Chennai,Success,Laptop,1
U130,2025-01-22 18:13,2025-01-22 22:32,99.20.223.165,Russia,Moscow,Failed,Mobile,4
U113,2025-01-14 02:24,2025-01-14 09:40,218.95.202.165,UK,London,Success,Laptop,2
U127,2025-01-01 01:15,2025-01-01 10:56,33.207.147.56,USA,Texas,Success,Laptop,0
U102,2025-01-25 01:22,2025-01-25 03:15,61.242.32.239,UK,London,Failed,Mobile,5
U125,2025-01-16 06:02,2025-01-16 12:45,23.132.34.64,China,Beijing,Failed,Mobile,5
U105,2025-01-30 12:00,2025-01-30 14:40,125.253.133.28,Nigeria,Lagos,Failed,Laptop,6
U107,2025-01-18 13:16,2025-01-18 16:29,69.230.193.226,Russia,Moscow,Success,Mobile,0
U105,2025-01-21 03:56,2025-01-21 11:17,211.186.245.242,Russia,Moscow,Success,Mobile,1
U109,2025-01-09 02:10,2025-01-09 05:58,95.41.124.83,China,Beijing,Success,Mobile,0
U106,2025-01-25 15:24,2025-01-25 15:56,55.59.107.189,Russia,Moscow,Success,Mobile,0
U122,2025-01-27 14:28,2025-01-27 20:26,115.10.1.46,Russia,Moscow,Failed,Mobile,6
U115,2025-01-22 02:23,2025-01-22 08:43,46.101.176.50,UK,London,Success,Laptop,0
U119,2025-01-24 10:26,2025-01-24 12:48,130.235.226.119,India,Hyderabad,Success,Laptop,2
U113,2025-01-05 15:59,2025-01-05 19:18,210.77.242.192,Thailand,Bangkok,Failed,Laptop,3
U114,2025-01-23 02:08,2025-01-23 03:12,47.236.126.131,Nigeria,Lagos,Success,Laptop,0
U107,2025-01-30 19:02,2025-01-30 23:36,101.40.59.252,USA,Texas,Failed,Laptop,4
U113,2025-01-19 22:23,2025-01-20 08:03,192.228.31.130,UK,London,Failed,Laptop,5
U122,2025-01-29 10:08,2025-01-29 10:17,241.121.178.113,Russia,Moscow,Failed,Mobile,6
U109,2025-01-27 05:52,2025-01-27 12:58,117.44.184.187,USA,New York,Success,Mobile,0
